  Walec.cpp
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(162): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(287): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(288): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(289): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(290): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(291): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(292): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(293): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(294): warning C4244: '=': conversion from 'int' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(307): warning C4244: '=': conversion from 'double' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(308): warning C4244: '=': conversion from 'double' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(311): warning C4244: '=': conversion from 'double' to 'GLfloat', possible loss of data
d:\visualstudio2015\projekty\newopengltutorial\opengl\opengl\walec.cpp(312): warning C4244: '=': conversion from 'double' to 'GLfloat', possible loss of data
  opengl.vcxproj -> D:\VisualStudio2015\Projekty\NEWOPENGLTUTORIAL\opengl\Debug\opengl.exe
  opengl.vcxproj -> D:\VisualStudio2015\Projekty\NEWOPENGLTUTORIAL\opengl\Debug\opengl.pdb (Partial PDB)
